LastName,Percentage
Borysenko,15.384615%
Giemza,7.692308%
Zivic,7.692308%
Zenger,7.692308%
Svensson,7.692308%
Salazar,7.692308%
Sakaleiv,7.692308%
Obradovic,7.692308%
Crvenica,7.692308%
Blashkun,7.692308%
Barquera,7.692308%
Loncarevic,7.692308%
